"","treatment_name","mean_r","se_r","mean_K","se_K","count","mean_light","temp_var","temp","planned","temp_desc","temp_type","fluct_size","temp_rounded"
"1","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"mean_temp",13.7118137254902,"actual_daily","mean_temp","constant","constant",14
"2","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"max_temp",15.3258823529412,"actual_daily","max_temp","constant","constant",15
"3","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"min_temp",12.5658823529412,"actual_daily","min_temp","constant","constant",13
"4","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"sd_temp",0.837447580285796,"actual_daily","sd_temp","constant","constant",1
"5","13",0.742594753944814,0.173881897158101,162.74298530373,8.09951289525782,5,965.183267973856,"temp_range",2.76,"actual_daily","temp_range","constant","constant",3
"6","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"mean_temp",13.733112745098,"actual_daily","mean_temp","constant","constant",14
"7","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"max_temp",14.1235294117647,"actual_daily","max_temp","constant","constant",14
"8","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"min_temp",13.2888235294118,"actual_daily","min_temp","constant","constant",13
"9","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"sd_temp",0.344540627877688,"actual_daily","sd_temp","constant","constant",0
"10","16.5",0.632009150477187,0.0835923216102018,140.57724728286,15.0199733822874,5,1287.88419934641,"temp_range",0.83470588235294,"actual_daily","temp_range","constant","constant",1
"11","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"mean_temp",18.214910130719,"actual_daily","mean_temp","constant","constant",18
"12","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"max_temp",18.4317647058824,"actual_daily","max_temp","constant","constant",18
"13","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"min_temp",18.0611764705882,"actual_daily","min_temp","constant","constant",18
"14","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"sd_temp",0.0540181355018768,"actual_daily","sd_temp","constant","constant",0
"15","20",0.726464848220354,0.129426194553862,163.151745205117,21.2328016318295,4,508.460800653595,"temp_range",0.370588235294118,"actual_daily","temp_range","constant","constant",0
"16","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"mean_temp",23.9443382352941,"actual_daily","mean_temp","constant","constant",24
"17","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"max_temp",24.7658823529412,"actual_daily","max_temp","constant","constant",25
"18","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"min_temp",22.4029411764706,"actual_daily","min_temp","constant","constant",22
"19","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"sd_temp",0.0422630790024618,"actual_daily","sd_temp","constant","constant",0
"20","23.5",0.836627254574739,0.173562846098832,424.66622665918,49.0267353291227,3,2860.37766339869,"temp_range",2.36294117647059,"actual_daily","temp_range","constant","constant",2
"21","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"mean_temp",26.5447058823529,"actual_daily","mean_temp","constant","constant",27
"22","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"max_temp",27.1129411764706,"actual_daily","max_temp","constant","constant",27
"23","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"min_temp",26.1435294117647,"actual_daily","min_temp","constant","constant",26
"24","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"sd_temp",0.0339583291564747,"actual_daily","sd_temp","constant","constant",0
"25","27",1.11992185250499,0.428580785456339,368.153617516338,56.5083994823277,4,1305.37464052288,"temp_range",0.969411764705882,"actual_daily","temp_range","constant","constant",1
"26","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"mean_temp",32.3430637254902,"actual_daily","mean_temp","constant","constant",32
"27","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"max_temp",33.4452941176471,"actual_daily","max_temp","constant","constant",33
"28","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"min_temp",31.5711764705882,"actual_daily","min_temp","constant","constant",32
"29","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"sd_temp",0.0459949137988245,"actual_daily","sd_temp","constant","constant",0
"30","30.5",1.03522985249508,0.115452025837869,216.886635662604,29.880071875627,4,1033.82692810458,"temp_range",1.87411764705882,"actual_daily","temp_range","constant","constant",2
"31","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"mean_temp",33.6276797385621,"actual_daily","mean_temp","constant","constant",34
"32","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"max_temp",34.0029411764706,"actual_daily","max_temp","constant","constant",34
"33","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"min_temp",33.2911764705882,"actual_daily","min_temp","constant","constant",33
"34","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"sd_temp",0.0443073723043221,"actual_daily","sd_temp","constant","constant",0
"35","34",0.585078459528206,0.14396293421834,172.968412346831,22.4382646058969,3,1788.42980392157,"temp_range",0.711764705882352,"actual_daily","temp_range","constant","constant",1
"36","VB23",0.664881029092872,0.161550789047603,181.556279027338,39.9433387612951,3,1428.41751633987,"mean_temp",23.7081944444444,"actual_daily","mean_temp","fluctuating","big",24
"37","VB23",0.664881029092872,0.161550789047603,181.556279027338,39.9433387612951,3,1428.41751633987,"max_temp",34.8764705882353,"actual_daily","max_temp","fluctuating","big",35
"38","VB23",0.664881029092872,0.161550789047603,181.556279027338,39.9433387612951,3,1428.41751633987,"min_temp",12.7970588235294,"actual_daily","min_temp","fluctuating","big",13
"39","VB23",0.664881029092872,0.161550789047603,181.556279027338,39.9433387612951,3,1428.41751633987,"sd_temp",0.404344376142104,"actual_daily","sd_temp","fluctuating","big",0
"40","VB23",0.664881029092872,0.161550789047603,181.556279027338,39.9433387612951,3,1428.41751633987,"temp_range",22.0794117647059,"actual_daily","temp_range","fluctuating","big",22
"41","VM20",0.625206759845154,0.0489790756723291,180.838638297421,26.6064559087339,4,2552.2766503268,"mean_temp",19.6291176470588,"actual_daily","mean_temp","fluctuating","medium",20
"42","VM20",0.625206759845154,0.0489790756723291,180.838638297421,26.6064559087339,4,2552.2766503268,"max_temp",27.0835294117647,"actual_daily","max_temp","fluctuating","medium",27
"43","VM20",0.625206759845154,0.0489790756723291,180.838638297421,26.6064559087339,4,2552.2766503268,"min_temp",12.2770588235294,"actual_daily","min_temp","fluctuating","medium",12
"44","VM20",0.625206759845154,0.0489790756723291,180.838638297421,26.6064559087339,4,2552.2766503268,"sd_temp",0.0509669223416094,"actual_daily","sd_temp","fluctuating","medium",0
"45","VM20",0.625206759845154,0.0489790756723291,180.838638297421,26.6064559087339,4,2552.2766503268,"temp_range",14.8064705882353,"actual_daily","temp_range","fluctuating","medium",15
"46","VM23",0.61629115446231,0.0731540096948052,207.735037193176,28.7883709347918,4,1294.23581699346,"mean_temp",22.7888316993464,"actual_daily","mean_temp","fluctuating","medium",23
"47","VM23",0.61629115446231,0.0731540096948052,207.735037193176,28.7883709347918,4,1294.23581699346,"max_temp",30.4417647058824,"actual_daily","max_temp","fluctuating","medium",30
"48","VM23",0.61629115446231,0.0731540096948052,207.735037193176,28.7883709347918,4,1294.23581699346,"min_temp",15.4929411764706,"actual_daily","min_temp","fluctuating","medium",15
"49","VM23",0.61629115446231,0.0731540096948052,207.735037193176,28.7883709347918,4,1294.23581699346,"sd_temp",0.01513801752904,"actual_daily","sd_temp","fluctuating","medium",0
"50","VM23",0.61629115446231,0.0731540096948052,207.735037193176,28.7883709347918,4,1294.23581699346,"temp_range",14.9488235294118,"actual_daily","temp_range","fluctuating","medium",15
"51","VM27",0.896422610541075,0.288602924522315,187.143002277803,18.0227788115811,3,1210.34596078431,"mean_temp",26.6258059210526,"actual_daily","mean_temp","fluctuating","medium",27
"52","VM27",0.896422610541075,0.288602924522315,187.143002277803,18.0227788115811,3,1210.34596078431,"max_temp",34.6111764705882,"actual_daily","max_temp","fluctuating","medium",35
"53","VM27",0.896422610541075,0.288602924522315,187.143002277803,18.0227788115811,3,1210.34596078431,"min_temp",19.4047058823529,"actual_daily","min_temp","fluctuating","medium",19
"54","VM27",0.896422610541075,0.288602924522315,187.143002277803,18.0227788115811,3,1210.34596078431,"sd_temp",0.0254616492087808,"actual_daily","sd_temp","fluctuating","medium",0
"55","VM27",0.896422610541075,0.288602924522315,187.143002277803,18.0227788115811,3,1210.34596078431,"temp_range",15.2064705882353,"actual_daily","temp_range","fluctuating","medium",15
"56","VS20",0.890881599995466,0.119613792462403,197.516340293052,29.0648751821173,5,928.867973856209,"mean_temp",19.1325653594771,"actual_daily","mean_temp","fluctuating","small",19
"57","VS20",0.890881599995466,0.119613792462403,197.516340293052,29.0648751821173,5,928.867973856209,"max_temp",22.8623529411765,"actual_daily","max_temp","fluctuating","small",23
"58","VS20",0.890881599995466,0.119613792462403,197.516340293052,29.0648751821173,5,928.867973856209,"min_temp",15.6923529411765,"actual_daily","min_temp","fluctuating","small",16
"59","VS20",0.890881599995466,0.119613792462403,197.516340293052,29.0648751821173,5,928.867973856209,"sd_temp",0.0182454039884841,"actual_daily","sd_temp","fluctuating","small",0
"60","VS20",0.890881599995466,0.119613792462403,197.516340293052,29.0648751821173,5,928.867973856209,"temp_range",7.17,"actual_daily","temp_range","fluctuating","small",7
"61","VS23",0.637157019893784,0.13678374788276,395.311173536272,97.414085682498,5,3335.80653594771,"mean_temp",23.6149918300654,"actual_daily","mean_temp","fluctuating","small",24
"62","VS23",0.637157019893784,0.13678374788276,395.311173536272,97.414085682498,5,3335.80653594771,"max_temp",27.5923529411765,"actual_daily","max_temp","fluctuating","small",28
"63","VS23",0.637157019893784,0.13678374788276,395.311173536272,97.414085682498,5,3335.80653594771,"min_temp",20.7323529411765,"actual_daily","min_temp","fluctuating","small",21
"64","VS23",0.637157019893784,0.13678374788276,395.311173536272,97.414085682498,5,3335.80653594771,"sd_temp",0.0552745818142843,"actual_daily","sd_temp","fluctuating","small",0
"65","VS23",0.637157019893784,0.13678374788276,395.311173536272,97.414085682498,5,3335.80653594771,"temp_range",6.86,"actual_daily","temp_range","fluctuating","small",7
"66","VS27",0.730773969957154,0.164962580160433,336.278360576135,51.8342303561619,3,753.529673202614,"mean_temp",26.031135620915,"actual_daily","mean_temp","fluctuating","small",26
"67","VS27",0.730773969957154,0.164962580160433,336.278360576135,51.8342303561619,3,753.529673202614,"max_temp",30.0217647058824,"actual_daily","max_temp","fluctuating","small",30
"68","VS27",0.730773969957154,0.164962580160433,336.278360576135,51.8342303561619,3,753.529673202614,"min_temp",22.4688235294118,"actual_daily","min_temp","fluctuating","small",22
"69","VS27",0.730773969957154,0.164962580160433,336.278360576135,51.8342303561619,3,753.529673202614,"sd_temp",0.013651110028525,"actual_daily","sd_temp","fluctuating","small",0
"70","VS27",0.730773969957154,0.164962580160433,336.278360576135,51.8342303561619,3,753.529673202614,"temp_range",7.55294117647059,"actual_daily","temp_range","fluctuating","small",8
