"","treatment_name","mean_light","temp_var","temp","planned","temp_desc","temp_type"
"1","13",965.183267973856,"mean_temp",13.7118137254902,"actual_daily","mean_temp","constant"
"2","13",965.183267973856,"max_temp",15.3258823529412,"actual_daily","max_temp","constant"
"3","13",965.183267973856,"min_temp",12.5658823529412,"actual_daily","min_temp","constant"
"4","13",965.183267973856,"sd_temp",0.837447580285796,"actual_daily","sd_temp","constant"
"5","13",965.183267973856,"temp_range",2.76,"actual_daily","temp_range","constant"
"6","16.5",1287.88419934641,"mean_temp",13.733112745098,"actual_daily","mean_temp","constant"
"7","16.5",1287.88419934641,"max_temp",14.1235294117647,"actual_daily","max_temp","constant"
"8","16.5",1287.88419934641,"min_temp",13.2888235294118,"actual_daily","min_temp","constant"
"9","16.5",1287.88419934641,"sd_temp",0.344540627877688,"actual_daily","sd_temp","constant"
"10","16.5",1287.88419934641,"temp_range",0.83470588235294,"actual_daily","temp_range","constant"
"11","20",508.460800653595,"mean_temp",18.214910130719,"actual_daily","mean_temp","constant"
"12","20",508.460800653595,"max_temp",18.4317647058824,"actual_daily","max_temp","constant"
"13","20",508.460800653595,"min_temp",18.0611764705882,"actual_daily","min_temp","constant"
"14","20",508.460800653595,"sd_temp",0.0540181355018768,"actual_daily","sd_temp","constant"
"15","20",508.460800653595,"temp_range",0.370588235294118,"actual_daily","temp_range","constant"
"16","23.5",2860.37766339869,"mean_temp",23.9443382352941,"actual_daily","mean_temp","constant"
"17","23.5",2860.37766339869,"max_temp",24.7658823529412,"actual_daily","max_temp","constant"
"18","23.5",2860.37766339869,"min_temp",22.4029411764706,"actual_daily","min_temp","constant"
"19","23.5",2860.37766339869,"sd_temp",0.0422630790024618,"actual_daily","sd_temp","constant"
"20","23.5",2860.37766339869,"temp_range",2.36294117647059,"actual_daily","temp_range","constant"
"21","27",1305.37464052288,"mean_temp",26.5447058823529,"actual_daily","mean_temp","constant"
"22","27",1305.37464052288,"max_temp",27.1129411764706,"actual_daily","max_temp","constant"
"23","27",1305.37464052288,"min_temp",26.1435294117647,"actual_daily","min_temp","constant"
"24","27",1305.37464052288,"sd_temp",0.0339583291564747,"actual_daily","sd_temp","constant"
"25","27",1305.37464052288,"temp_range",0.969411764705882,"actual_daily","temp_range","constant"
"26","30.5",1033.82692810458,"mean_temp",32.3430637254902,"actual_daily","mean_temp","constant"
"27","30.5",1033.82692810458,"max_temp",33.4452941176471,"actual_daily","max_temp","constant"
"28","30.5",1033.82692810458,"min_temp",31.5711764705882,"actual_daily","min_temp","constant"
"29","30.5",1033.82692810458,"sd_temp",0.0459949137988245,"actual_daily","sd_temp","constant"
"30","30.5",1033.82692810458,"temp_range",1.87411764705882,"actual_daily","temp_range","constant"
"31","34",1788.42980392157,"mean_temp",33.6276797385621,"actual_daily","mean_temp","constant"
"32","34",1788.42980392157,"max_temp",34.0029411764706,"actual_daily","max_temp","constant"
"33","34",1788.42980392157,"min_temp",33.2911764705882,"actual_daily","min_temp","constant"
"34","34",1788.42980392157,"sd_temp",0.0443073723043221,"actual_daily","sd_temp","constant"
"35","34",1788.42980392157,"temp_range",0.711764705882352,"actual_daily","temp_range","constant"
"36","VB23",1428.41751633987,"mean_temp",23.7081944444444,"actual_daily","mean_temp","fluctuating"
"37","VB23",1428.41751633987,"max_temp",34.8764705882353,"actual_daily","max_temp","fluctuating"
"38","VB23",1428.41751633987,"min_temp",12.7970588235294,"actual_daily","min_temp","fluctuating"
"39","VB23",1428.41751633987,"sd_temp",0.404344376142104,"actual_daily","sd_temp","fluctuating"
"40","VB23",1428.41751633987,"temp_range",22.0794117647059,"actual_daily","temp_range","fluctuating"
"41","VM20",2552.2766503268,"mean_temp",19.6291176470588,"actual_daily","mean_temp","fluctuating"
"42","VM20",2552.2766503268,"max_temp",27.0835294117647,"actual_daily","max_temp","fluctuating"
"43","VM20",2552.2766503268,"min_temp",12.2770588235294,"actual_daily","min_temp","fluctuating"
"44","VM20",2552.2766503268,"sd_temp",0.0509669223416094,"actual_daily","sd_temp","fluctuating"
"45","VM20",2552.2766503268,"temp_range",14.8064705882353,"actual_daily","temp_range","fluctuating"
"46","VM23",1294.23581699346,"mean_temp",22.7888316993464,"actual_daily","mean_temp","fluctuating"
"47","VM23",1294.23581699346,"max_temp",30.4417647058824,"actual_daily","max_temp","fluctuating"
"48","VM23",1294.23581699346,"min_temp",15.4929411764706,"actual_daily","min_temp","fluctuating"
"49","VM23",1294.23581699346,"sd_temp",0.01513801752904,"actual_daily","sd_temp","fluctuating"
"50","VM23",1294.23581699346,"temp_range",14.9488235294118,"actual_daily","temp_range","fluctuating"
"51","VM27",1210.34596078431,"mean_temp",26.6258059210526,"actual_daily","mean_temp","fluctuating"
"52","VM27",1210.34596078431,"max_temp",34.6111764705882,"actual_daily","max_temp","fluctuating"
"53","VM27",1210.34596078431,"min_temp",19.4047058823529,"actual_daily","min_temp","fluctuating"
"54","VM27",1210.34596078431,"sd_temp",0.0254616492087808,"actual_daily","sd_temp","fluctuating"
"55","VM27",1210.34596078431,"temp_range",15.2064705882353,"actual_daily","temp_range","fluctuating"
"56","VS20",928.867973856209,"mean_temp",19.1325653594771,"actual_daily","mean_temp","fluctuating"
"57","VS20",928.867973856209,"max_temp",22.8623529411765,"actual_daily","max_temp","fluctuating"
"58","VS20",928.867973856209,"min_temp",15.6923529411765,"actual_daily","min_temp","fluctuating"
"59","VS20",928.867973856209,"sd_temp",0.0182454039884841,"actual_daily","sd_temp","fluctuating"
"60","VS20",928.867973856209,"temp_range",7.17,"actual_daily","temp_range","fluctuating"
"61","VS23",3335.80653594771,"mean_temp",23.6149918300654,"actual_daily","mean_temp","fluctuating"
"62","VS23",3335.80653594771,"max_temp",27.5923529411765,"actual_daily","max_temp","fluctuating"
"63","VS23",3335.80653594771,"min_temp",20.7323529411765,"actual_daily","min_temp","fluctuating"
"64","VS23",3335.80653594771,"sd_temp",0.0552745818142843,"actual_daily","sd_temp","fluctuating"
"65","VS23",3335.80653594771,"temp_range",6.86,"actual_daily","temp_range","fluctuating"
"66","VS27",753.529673202614,"mean_temp",26.031135620915,"actual_daily","mean_temp","fluctuating"
"67","VS27",753.529673202614,"max_temp",30.0217647058824,"actual_daily","max_temp","fluctuating"
"68","VS27",753.529673202614,"min_temp",22.4688235294118,"actual_daily","min_temp","fluctuating"
"69","VS27",753.529673202614,"sd_temp",0.013651110028525,"actual_daily","sd_temp","fluctuating"
"70","VS27",753.529673202614,"temp_range",7.55294117647059,"actual_daily","temp_range","fluctuating"
